,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint-philippe,-21.3585,55.7679,76.59,73,18,10.83,RE,1658827666
1,butaritari,3.0707,172.7902,82.2,73,99,16.82,KI,1658827667
2,hilo,19.7297,-155.09,81.28,92,75,4.61,US,1658827667
3,kaitangata,-46.2817,169.8464,45.14,94,100,16.06,NZ,1658827668
4,narsaq,60.9167,-46.05,48.42,82,88,1.3,GL,1658827668
5,vanimo,-2.6741,141.3028,80.08,85,89,7.05,PG,1658827668
6,port elizabeth,-33.918,25.5701,69.1,66,0,9.22,ZA,1658827440
7,krasnoselkup,65.7,82.4667,65.98,46,84,9.8,RU,1658827244
8,hermanus,-34.4187,19.2345,62.8,46,24,3.85,ZA,1658827669
9,nishihara,26.1842,127.7558,80.65,91,75,6.91,JP,1658827670
10,upernavik,72.7868,-56.1549,36.25,92,58,8.21,GL,1658827670
11,constitucion,-35.3333,-72.4167,53.19,91,100,14.92,CL,1658827671
12,newton,42.337,-71.2092,69.75,68,0,3.44,US,1658827641
13,aswan,24.0934,32.907,101.39,11,0,7.65,EG,1658827671
14,albany,42.6001,-73.9662,59.45,88,0,4.59,US,1658827590
15,mataura,-46.1927,168.8643,44.47,97,100,9.82,NZ,1658827672
16,jamestown,42.097,-79.2353,57.72,92,75,1.99,US,1658827500
17,azul,-36.777,-59.8585,55.35,99,100,5.64,AR,1658827672
18,saldanha,-33.0117,17.9442,64.45,68,60,9.78,ZA,1658827672
19,udachnyy,66.4167,112.4,79.45,65,91,9.66,RU,1658827673
20,port alfred,-33.5906,26.891,62.19,69,0,3.0,ZA,1658827673
21,omsukchan,62.5333,155.8,62.19,42,80,5.21,RU,1658827113
22,sitka,57.0531,-135.33,57.09,94,100,0.0,US,1658827674
23,bredasdorp,-34.5322,20.0403,64.8,37,6,4.79,ZA,1658827674
24,lavrentiya,65.5833,-171.0,39.6,84,100,12.35,RU,1658827675
25,sanandaj,35.3144,46.9923,93.22,12,20,6.91,IR,1658827675
26,usinsk,65.9939,57.5281,53.37,74,100,19.19,RU,1658827675
27,arawa,-6.2132,155.5367,77.45,90,91,2.39,PG,1658827676
28,birigui,-21.2886,-50.34,64.51,55,0,11.5,BR,1658827452
29,hithadhoo,-0.6,73.0833,83.08,73,43,10.45,MV,1658827676
30,townsville,-19.25,146.8,67.08,88,0,6.91,AU,1658827677
31,praia da vitoria,38.7333,-27.0667,76.75,83,20,3.83,PT,1658827677
32,akyab,20.15,92.9,86.43,67,29,9.28,MM,1658827678
33,hobart,-42.8794,147.3294,54.05,88,75,6.91,AU,1658827678
34,ushuaia,-54.8,-68.3,31.66,74,20,8.05,AR,1658827499
35,kapaa,22.0752,-159.319,79.12,81,75,18.41,US,1658827431
36,busselton,-33.65,115.3333,58.96,69,92,9.95,AU,1658827679
37,atuona,-9.8,-139.0333,77.49,73,0,15.84,PF,1658827679
38,puerto ayora,-0.7393,-90.3518,68.56,97,98,4.0,EC,1658827679
39,maarianhamina,60.0973,19.9348,64.26,94,100,19.57,AX,1658827680
40,burnie,-41.0667,145.9167,50.92,88,95,15.39,AU,1658827510
41,kidal,18.4411,1.4078,97.63,9,30,5.95,ML,1658827681
42,punta arenas,-53.15,-70.9167,32.11,80,20,5.75,CL,1658827681
43,bambous virieux,-20.3428,57.7575,75.22,78,75,12.66,MU,1658827681
44,villa rica,33.7321,-84.9191,75.78,98,95,3.06,US,1658827682
45,ajdabiya,30.7554,20.2263,90.93,37,0,14.03,LY,1658827682
46,khatanga,71.9667,102.5,80.46,31,10,4.99,RU,1658827683
47,thompson,55.7435,-97.8558,55.56,100,75,2.3,CA,1658827683
48,port lincoln,-34.7333,135.8667,54.28,70,67,8.08,AU,1658827683
49,chicama,-7.8447,-79.1469,59.54,89,72,4.94,PE,1658827684
50,khuzhir,53.1939,107.3397,54.84,89,100,9.4,RU,1658827684
51,new norfolk,-42.7826,147.0587,53.71,80,65,2.98,AU,1658827684
52,rikitea,-23.1203,-134.9692,75.22,74,83,8.28,PF,1658827685
53,bom jesus,-9.0744,-44.3586,63.52,83,93,2.35,BR,1658827685
54,esmeraldas,-19.7625,-44.3139,56.44,84,0,3.53,BR,1658827686
55,samarai,-10.6167,150.6667,79.12,77,81,11.32,PG,1658827179
56,bengkulu,-3.8004,102.2655,82.53,67,87,5.35,ID,1658827731
57,baffa,34.4378,73.2194,84.61,67,100,5.21,PK,1658827731
58,hobyo,5.3505,48.5268,83.93,57,14,23.62,SO,1658827732
59,cape town,-33.9258,18.4232,69.28,42,0,1.99,ZA,1658827456
60,oyama,36.3,139.8,85.59,76,100,8.39,JP,1658827732
61,ribeira grande,38.5167,-28.7,75.6,88,40,5.75,PT,1658827733
62,lebu,-37.6167,-73.65,51.91,88,28,17.96,CL,1658827733
63,ascension,30.2169,-90.9001,79.05,96,0,0.0,US,1658827734
64,tuktoyaktuk,69.4541,-133.0374,55.13,65,100,16.93,CA,1658827734
65,barra do garcas,-15.89,-52.2567,64.0,51,0,2.71,BR,1658827734
66,pisco,-13.7,-76.2167,60.85,88,75,2.3,PE,1658827249
67,aguie,13.506,7.7786,85.96,59,89,20.13,NE,1658827181
68,laukaa,58.7372,29.8453,76.91,45,100,5.57,RU,1658827735
69,bondo,3.8146,23.6866,70.9,98,100,3.18,CD,1658827735
70,hasaki,35.7333,140.8333,82.8,90,100,18.72,JP,1658827545
71,torbay,47.6666,-52.7314,67.39,91,100,23.02,CA,1658827736
72,pevek,69.7008,170.3133,35.65,78,89,13.6,RU,1658827736
73,cibinong,-6.4817,106.8542,86.05,60,78,2.98,ID,1658827737
74,georgetown,5.4112,100.3354,88.95,77,20,10.36,MY,1658827516
75,pindamonhangaba,-22.9239,-45.4617,52.05,87,0,1.14,BR,1658827704
76,markala,13.7021,-6.0659,83.52,63,100,10.8,ML,1658827737
77,lima,-12.0432,-77.0282,57.45,88,100,9.22,PE,1658827495
78,ponta do sol,32.6667,-17.1,86.13,40,23,4.83,PT,1658827302
79,rio gallegos,-51.6226,-69.2181,17.65,100,0,6.91,AR,1658827564
80,arraial do cabo,-22.9661,-42.0278,67.86,94,0,8.05,BR,1658827738
81,shiloh,38.5614,-89.8973,65.93,99,75,6.91,US,1658827739
82,springbok,-29.6643,17.8865,57.78,44,0,4.61,ZA,1658827739
83,kavieng,-2.5744,150.7967,83.01,72,35,14.41,PG,1658827739
84,shymkent,42.3,69.6,104.59,7,0,6.71,KZ,1658827740
85,batagay-alyta,67.8006,130.4114,80.65,37,57,9.22,RU,1658827741
86,esperance,-33.8667,121.9,60.91,50,94,12.75,AU,1658827741
87,yanam,16.7333,82.2167,89.76,60,83,4.85,IN,1658827741
88,vaini,-21.2,-175.2,71.76,94,20,4.61,TO,1658827742
89,santa lucia,27.9117,-15.5407,77.76,54,0,19.57,ES,1658827742
90,bilibino,68.0546,166.4372,43.68,60,75,14.74,RU,1658827743
91,damara,4.9608,18.7035,75.02,85,97,7.56,CF,1658827743
92,yellowknife,62.456,-114.3525,54.12,87,20,4.61,CA,1658827743
93,severo-kurilsk,50.6789,156.125,52.48,89,100,1.97,RU,1658827744
94,chokurdakh,70.6333,147.9167,56.73,38,45,17.87,RU,1658827744
95,bubaque,11.2833,-15.8333,78.96,81,83,11.77,GW,1658827744
96,partizanskoye,55.5006,94.39,61.03,77,94,11.05,RU,1658827745
97,harwich,51.9419,1.2844,69.3,58,99,4.0,GB,1658827745
98,waddan,29.1614,16.139,89.55,21,0,4.94,LY,1658827746
99,linxia,35.6003,103.2064,74.75,58,68,2.55,CN,1658827746
100,bluff,-46.6,168.3333,44.8,90,100,27.34,NZ,1658827746
101,valverde del camino,37.5751,-6.7543,81.03,29,0,7.7,ES,1658827747
102,kemin,42.7846,75.6892,97.21,17,0,10.49,KG,1658827747
103,fukue,32.6881,128.8419,80.96,78,40,4.61,JP,1658827748
104,katherine,-14.4667,132.2667,84.52,32,8,9.22,AU,1658827748
105,katsuura,35.1333,140.3,80.38,90,100,16.73,JP,1658827748
106,iquique,-20.2208,-70.1431,57.24,79,10,7.16,CL,1658827749
107,brownsville,25.9018,-97.4975,80.96,87,20,5.75,US,1658827671
108,qaanaaq,77.484,-69.3632,38.26,66,10,4.52,GL,1658827749
109,cap malheureux,-19.9842,57.6142,75.47,65,0,11.01,MU,1658827750
110,maldonado,-34.6667,-54.9167,60.22,97,97,9.86,UY,1658827586
111,sharkan,57.2989,53.8712,75.4,63,18,10.25,RU,1658827750
112,bareli,28.35,79.4167,95.83,43,90,13.22,IN,1658827796
113,port hardy,50.6996,-127.4199,57.38,94,100,2.3,CA,1658827796
114,talaya,61.3833,152.75,68.18,44,93,6.87,RU,1658827796
115,rawson,-43.3002,-65.1023,45.84,96,100,7.11,AR,1658827797
116,smithers,54.7804,-127.1743,62.92,82,0,5.75,CA,1658827797
117,biak,-0.9131,122.8766,79.2,81,67,6.71,ID,1658827798
118,mecca,21.4267,39.8261,101.5,28,74,7.31,SA,1658827784
119,hamilton,39.1834,-84.5333,72.88,81,40,0.0,US,1658827766
120,beringovskiy,63.05,179.3167,47.41,89,99,9.17,RU,1658827798
121,bathsheba,13.2167,-59.5167,81.21,93,40,16.11,BB,1658827799
122,airai,-8.9266,125.4092,63.82,64,42,3.83,TL,1658827799
123,avarua,-21.2078,-159.775,69.85,73,75,6.91,CK,1658827799
124,yining,29.0361,114.5636,99.79,42,99,4.81,CN,1658827800
125,gaoua,10.2992,-3.2508,79.34,68,77,8.34,BF,1658827800
126,san remo,43.8182,7.7612,85.05,73,2,6.11,IT,1658827801
127,mattru,7.6244,-11.8332,80.19,68,8,2.39,SL,1658827801
128,berbera,10.4396,45.0143,99.45,32,36,19.19,SO,1658827802
129,thoen,17.6129,99.2161,84.43,76,79,2.04,TH,1658827802
130,beira,-19.8436,34.8389,71.13,60,9,10.45,MZ,1658827541
131,havre-saint-pierre,50.2334,-63.5986,55.76,94,75,5.75,CA,1658827803
132,cherskiy,68.75,161.3,45.36,60,20,13.69,RU,1658827803
133,mahebourg,-20.4081,57.7,75.25,78,75,12.66,MU,1658827804
